"PMID","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"10329289","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","1"
"10332889","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","1","1","0","0","0","2"
"10349031","0","1","2","0","3","0","0","1","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","2","1","0","0","1","0","0","0","1","0","3","0","1","0","1","0","0","4"
"10349294","0","0","1","0","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","1","1","0","0","3","0","4","0","0","0","0","1"
"10355673","0","0","4","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0","0","0","0","2","0","5","0","0","1","0","2"
"10355678","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","3","0","2","0","1","0","1","0"
"10355680","0","3","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1"
"10356062","0","3","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","3"
"10366639","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0"
"10376114","0","1","4","0","3","0","0","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","2"
