"PMID","ACUTE_THREAT","POTENTIAL_THREAT","SUSTAINED_THREAT","LOSS","FRUSTRATIVE_NONREWARD","REWARD_VALUATION","EFFORT_VALUATION","EXPECTANCY","ACTION_SELECTION","INITIAL_REWARD_RESPONSIVENESS","SUSTAINED_REWARD_RESPONSIVENESS","REWARD_LEARNING","HABIT","ATTENTION","VISUAL_PERCEPTION","AUDITORY_PERCEPTION","OTHER_PERCEPTION","DECLARATIVE_MEMORY","LANGUAGE","GOAL_SELECTION","UPDATING_REPRESENTATION_MAINTENANCE","RESPONSE_SELECTION","INHIBITION","PERFORMANCE_MONITORING","ACTIVE_MAINTENANCE","FLEXIBLE_UPDATING","LIMITED_CAPACITY","INTERFERENCE_CONTROL","AFFILIATION_ATTACHMENT","FACIAL_COMM_RECEPTION","FACIAL_COMM_PRODUCTION","NONFACIAL_COMM_RECEPTION","NONFACIAL_COMM_PRODUCTION","AGENCY","SELF_KNOWLEDGE","ANIMACY_PERCEPTION","ACTION_PERCEPTION","MENTAL_STATE_UNDERSTANDING","AROUSAL","CIRCADIAN_RHYTHMS","SLEEP_WAKEFULNESS"
"10230795","0","0","2","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","1","0","0","1","1","0","2"
"10233106","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","1"
"10234026","1","0","2","1","0","0","1","0","0","0","0","0","0","0","2","2","0","3","0","0","1","0","0","0","1","0","0","0","3","0","0","0","1","0","0","1","0","0","1","0","1"
"10318979","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"10320379","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","1","2","2","0","2","0","0","0","0","0","1"
"10327898","0","1","2","3","0","1","0","1","0","1","2","1","1","2","0","0","0","1","0","0","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"10329289","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","1","0","1","0","0","0","1"
"10332889","3","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0"
"10349031","2","0","3","1","0","0","0","0","0","1","1","0","0","2","1","1","1","0","1","0","1","3","3","0","0","0","1","1","1","2","1","1","5","0","0","0","1","0","2","0","2"
"10349294","3","1","1","1","0","0","1","0","0","1","1","0","0","1","1","1","0","0","2","0","0","2","0","0","0","0","0","1","0","2","2","0","3","0","0","0","0","0","2","1","1"
"10355673","6","1","1","2","1","0","0","0","0","2","1","0","0","0","1","2","1","3","2","0","0","0","0","0","0","0","0","0","1","2","2","1","3","0","0","0","0","0","1","0","0"
"10355678","0","0","1","0","0","1","0","1","0","1","1","1","0","0","1","2","0","1","4","0","0","0","0","0","0","0","0","0","2","1","1","1","2","0","0","2","0","0","1","0","1"
"10355680","2","0","2","1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","1","0","1","0","0","1","0","1","1","0","1","0","2","0","0","0","0","0","0","0","0"
"10356062","1","0","2","0","0","0","0","2","0","0","1","0","0","3","1","1","1","0","0","0","1","0","1","0","1","0","0","0","3","1","0","0","0","0","2","0","1","1","2","0","1"
"10366639","2","0","2","1","0","0","0","0","0","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","2","2","1","1","0","0","0","0","0","0","0","0"
"10376114","1","1","3","2","0","1","1","1","1","1","2","0","0","3","0","0","0","1","1","0","1","2","2","0","0","0","0","1","2","0","0","0","2","1","2","0","0","1","0","1","0"
"10382629","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10385581","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","1","2","1","1","1","2","0","0","0","0","0","0","0","0"
"10385583","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"10388796","0","0","0","0","0","0","0","1","0","0","0","0","0","2","3","2","0","0","1","0","0","1","0","0","0","0","1","1","1","0","0","0","2","0","1","0","0","0","0","0","0"
"10390028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"10392834","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10393989","1","0","0","2","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0"
"10400241","0","0","0","0","0","2","2","2","1","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10400972","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0"
"10401985","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10402199","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","4","0","1","1","0","0","1","0","0","1","2","1","1","2","3","0","1","1","1","0","0","0","0"
"10404202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"10407049","0","0","1","1","0","0","0","0","0","1","2","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"10407201","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","3","0","0","0","0","0","0","1","1"
"10408647","0","0","2","1","0","0","0","0","0","0","1","0","0","4","0","1","1","1","0","0","1","0","0","0","1","0","1","0","3","0","0","0","0","0","0","2","0","0","1","1","3"
"10426417","0","0","2","0","0","0","1","0","0","1","1","0","0","2","1","1","1","1","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0","0","0","0","0","1","0","2"
"10430951","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1"
"10430955","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","1","0","2","0","0","2","1","0","0","1","3"
"10432182","0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","1"
"10450253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","0","1","0","0","0","0","1","2"
