"PMID","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40"
"10329289","0","1","0","2","1","1","2","0","0","0","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","0","2"
"10332889","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","2","0","1","1","1","0","0","3"
"10349031","0","3","4","2","5","2","0","3","0","1","5","0","0","2","0","3","0","0","1","0","3","0","1","6","1","0","0","4","1","0","0","2","2","4","1","1","0","1","0","0","8"
"10349294","0","2","2","0","6","0","2","2","0","0","2","0","0","2","0","0","0","1","0","0","3","1","0","4","1","1","0","1","1","2","1","1","2","6","2","4","0","0","0","0","6"
"10355673","1","1","12","2","1","0","1","1","0","0","4","3","3","0","8","0","0","0","3","0","1","0","3","0","0","0","1","2","0","0","0","0","2","3","1","14","0","6","1","2","5"
"10355678","0","1","0","1","0","0","4","0","1","0","0","0","0","0","0","1","0","3","0","0","0","1","1","0","3","0","0","1","4","0","0","0","0","8","0","3","0","2","0","1","1"
"10355680","0","3","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","6","0","0","0","1","0","0","2","0","0","1","0","1","0","0","0","0","1"
"10356062","0","5","1","1","0","1","1","2","0","1","2","0","2","0","0","0","0","2","0","0","2","0","0","2","1","0","0","0","1","1","0","0","5","1","4","1","0","1","0","0","8"
"10366639","0","5","0","0","1","0","2","0","0","0","0","1","0","0","0","1","0","2","0","0","0","1","5","4","0","0","0","3","1","0","1","0","0","0","0","1","0","0","3","0","6"
"10376114","0","4","8","0","6","0","0","2","2","2","5","0","1","1","1","1","0","1","2","0","1","1","1","11","0","0","0","0","1","1","1","2","1","3","1","1","0","1","0","0","9"
"10382629","0","1","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0","2","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","1","2","0","0","0","0","7"
"10385581","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","2","1","0","0","0","0","0","0","0","0","0","2"
"10385583","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2","1","1","1","0","0","0","0","3"
"10388796","0","3","0","3","2","0","0","1","0","0","1","0","0","0","1","1","1","1","0","0","1","0","1","2","0","0","1","2","2","0","0","0","3","2","3","0","0","0","1","1","4"
"10390028","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","6","0","0","0","0","0","0","0"
"10392834","0","1","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1"
"10393989","0","2","1","1","1","1","0","0","0","0","2","0","0","0","0","2","0","0","0","0","3","0","2","5","0","0","0","2","1","1","0","0","1","1","1","0","0","0","1","0","3"
"10400241","0","0","1","0","0","0","2","0","4","2","0","0","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","2","0","0","0","0","0","2","0","1","0","0","0","0","4"
"10400972","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","5"
"10401985","0","2","0","0","1","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0"
"10402199","0","2","0","5","3","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","3","8","1","0","0","0","12","0","0","0","0","0","0","5"
"10404202","0","1","0","0","0","0","1","1","1","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","2","0","0","0","0","0","2"
"10407049","0","0","0","1","0","0","0","0","0","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2"
"10407201","0","2","1","0","1","0","0","1","0","0","4","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","0","0","0","1","4","1","1","1","0","0","0","4"
"10408647","0","4","2","0","1","1","1","3","1","2","6","0","1","0","0","1","0","0","0","0","2","0","1","0","0","0","0","0","0","1","0","0","5","0","2","0","0","1","0","1","3"
"10426417","0","3","0","0","0","0","2","1","0","1","3","0","0","0","0","1","0","1","0","0","1","1","6","1","0","0","0","3","1","0","0","0","3","0","2","1","0","1","3","0","8"
"10430951","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","6"
"10430955","0","1","0","0","1","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","8"
"10432182","0","5","1","0","1","1","2","1","0","1","4","0","0","0","0","1","0","4","0","0","3","2","2","2","0","0","0","2","4","2","0","0","1","0","1","3","0","0","2","0","13"
"10450253","0","0","0","1","2","0","0","1","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1"
"10454140","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1"
"10459394","1","1","10","0","1","0","2","0","1","1","1","0","3","0","5","1","0","0","1","0","0","0","2","1","0","0","0","1","1","0","2","0","1","2","0","9","0","7","0","0","2"
"10459395","0","2","8","0","4","0","0","1","0","0","1","1","0","1","7","0","1","0","2","0","1","0","1","2","0","0","0","1","2","0","0","0","1","2","1","5","0","8","0","1","6"
"10468363","0","2","3","0","4","1","0","1","2","1","2","1","0","0","4","0","0","1","0","0","1","1","2","1","0","0","0","1","0","0","0","1","3","2","2","7","0","4","1","0","4"
"10468630","0","1","4","0","4","0","1","1","0","1","3","1","0","1","2","0","0","1","2","0","1","1","2","1","0","1","0","1","1","0","0","0","1","3","1","4","0","3","2","0","5"
"10471847","0","3","1","2","0","1","2","1","1","0","1","0","1","0","0","0","1","1","0","0","6","1","4","0","4","0","0","2","2","0","0","0","1","12","1","1","0","0","1","0","5"
"10471848","0","2","1","1","2","0","4","0","1","0","0","0","1","0","0","0","1","3","0","0","2","1","3","1","5","0","0","3","7","0","0","0","1","19","1","3","0","0","2","0","6"
"10480271","0","2","1","0","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","1","0","3","0","0","0","0","7"
"10482257","0","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","2","1","0","0","2","0","0","0","0","0","0","1"
"10482774","1","3","3","0","1","1","0","1","0","1","1","0","0","0","2","0","0","0","0","0","3","0","3","0","0","0","0","4","1","0","0","1","1","10","1","7","0","2","2","0","7"
"10489865","0","1","1","1","1","0","0","1","0","1","5","0","1","0","0","1","0","0","0","0","2","0","2","1","1","0","0","3","1","0","0","0","2","8","1","0","0","0","1","0","3"
"10493894","0","2","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","4"
"10493901","0","0","0","1","0","1","0","0","0","1","4","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"10493903","0","0","2","1","0","1","1","0","0","0","7","1","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","2"
"10496688","0","1","6","0","1","0","0","1","1","1","0","2","0","0","6","2","0","0","1","0","0","0","1","1","0","0","0","1","1","0","0","0","1","0","0","6","0","7","0","1","1"
"10501805","0","5","1","1","0","0","2","0","0","0","4","0","1","1","0","1","0","0","0","0","2","0","7","2","2","0","0","3","3","0","0","0","0","5","0","0","0","0","9","0","11"
"10506099","0","1","1","0","0","1","0","0","0","1","7","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0"
"10509837","0","0","6","0","0","0","2","0","0","1","3","0","1","0","2","0","0","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","1","8","0","8","0","2","0","0","2"
"10511450","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0"
"10515983","0","2","2","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","3"
"10516320","0","2","3","1","1","1","2","0","5","0","0","1","1","0","2","2","0","0","1","0","2","0","0","6","0","0","1","4","0","1","3","0","1","0","1","1","0","1","0","1","4"
"10518175","1","2","9","0","1","0","2","1","3","1","1","3","3","0","7","1","1","1","0","1","1","1","7","3","0","0","1","3","3","0","1","0","2","3","1","8","0","6","2","2","11"
"10522888","0","5","4","0","3","0","0","1","1","2","0","0","1","0","0","3","1","0","0","0","0","0","2","3","0","0","0","3","0","0","3","1","1","2","0","1","0","1","2","0","6"
"10523407","0","0","1","0","2","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2"
"10531451","0","7","0","0","0","1","2","2","0","1","3","0","1","1","0","0","0","1","0","0","2","0","0","3","0","0","0","0","0","0","0","0","7","0","3","1","0","1","0","0","7"
"10545400","0","0","0","1","0","0","2","1","0","0","1","0","0","0","0","1","1","4","0","0","1","1","1","1","1","0","0","2","5","0","0","0","0","6","0","1","0","0","0","0","4"
"10547332","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","0","2","4","0","1","0","0","11","0","1","0","0","1","0","2"
"10557338","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","3"
"10559415","0","4","0","2","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3","0","2","1","0","0","0","4","0","1","0","0","0","3","0","1","1","0","2","0","6"
"10561425","0","3","0","0","0","0","1","1","0","1","3","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","2","1","0","0","0","3","0","1","2","0","1","0","0","4"
"10571235","0","2","0","2","1","0","2","1","0","0","1","0","0","0","0","0","1","0","0","0","3","0","0","0","4","0","0","3","6","0","0","0","1","18","1","0","0","0","0","0","2"
"10574350","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","1","0","0","1","3","0","0","0","1","0","0","1","1","0","1","0","0","8","0","2","0","3","0","1","0"
"10586971","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","3","0","0","2","0","0","1","0","0","0","1","2","0","0","0","0","2","0","1","0","0","0","0","2"
"10591898","0","2","0","2","1","0","0","3","0","4","4","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","6","0","3","2","0","1","0","0","8"
"10594068","0","0","5","0","1","0","1","0","1","1","2","0","4","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","4","0","1","3","0","4"
"10599862","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","3","1","0","0","0","0","2","0","1","0","0","0","0","0"
